"Name","optimizer","_wandb","epoch"
"optimizer: rmsprop","rmsprop","","100"
"optimizer: yogi","yogi","","8"
"optimizer: yogi","yogi","","11"
"optimizer: yogi","yogi","","7"
"optimizer: yogi","yogi","","10"
"optimizer: rmsprop","rmsprop","","100"
"optimizer: yogi","yogi","","10"
"optimizer: sgd","sgd","","100"
"optimizer: rmsprop","rmsprop","","100"
"optimizer: sgd","sgd","","100"
"optimizer: rmsprop","rmsprop","","100"
"optimizer: sgd","sgd","","100"
"optimizer: rmsprop","rmsprop","","100"
"optimizer: sgd","sgd","","100"
"optimizer: sgd","sgd","","100"
"optimizer: radam","radam","","40"
"optimizer: radam","radam","","29"
"optimizer: radam","radam","","9"
"optimizer: radam","radam","","38"
"optimizer: radam","radam","","10"
"optimizer: lion","lion","","25"
"optimizer: lion","lion","","28"
"optimizer: lion","lion","","23"
"optimizer: lion","lion","","62"
"optimizer: lion","lion","","72"
"optimizer: amsgrad","amsgrad","","12"
"optimizer: amsgrad","amsgrad","","12"
"optimizer: amsgrad","amsgrad","","6"
"optimizer: amsgrad","amsgrad","","6"
"optimizer: amsgrad","amsgrad","","10"
"optimizer: adan","adan","","74"
"optimizer: adan","adan","","64"
"optimizer: adan","adan","","28"
"optimizer: adan","adan","","26"
"optimizer: adan","adan","","30"
"optimizer: adamx","adamx","","10"
"optimizer: adamx","adamx","","11"
"optimizer: adamx","adamx","","11"
"optimizer: adamx","adamx","","21"
"optimizer: adamx","adamx","","13"
"optimizer: adamw","adamw","","34"
"optimizer: adamw","adamw","","26"
"optimizer: adamw","adamw","","22"
"optimizer: adamw","adamw","","19"
"optimizer: adamw","adamw","","20"
"optimizer: adam","adam","","38"
"optimizer: adam","adam","","28"
"optimizer: adam","adam","","15"
"optimizer: adam","adam","","35"
"optimizer: adam","adam","","24"
"optimizer: adagrad","adagrad","","98"
"optimizer: adagrad","adagrad","","100"
"optimizer: adagrad","adagrad","","12"
"optimizer: adagrad","adagrad","","100"
"optimizer: adagrad","adagrad","","12"
